Physician ID,Physician Name,Hospital ID,Hospital Name,Hospital ZIP,Hospital City
30088881,KAREN HOOK,AC846,M2 Oncology,2116,BOSTON
60496959,Laura Raftery,AC943,VISN 12 Great Lakes Healthcare System,6776,NEW MILFORD
95255163,GEORGE KANNARKAT,AC812,Mountain View Hospital,78723,AUSTIN
63220363,JOHN SMYLES,AC791,Ascension St Johns Hospital,60007,ELK GROVE VILLAGE
60579890,NAGA GAVINI,AC204,Detroit Medical Center,12524,FISHKILL
49886235,CESAR VIVANCO,AC186,St. Bernards Cancer Center,45601,CHILLICOTHE
99809851,MOATAZ EL-GHAMRY,AC526,Cancer Care Northwest,44004,ASHTABULA
67977354,MONA SANGHANI,AC568,Premier Health,19118,PHILADELPHIA
80973214,OLWEN HAHN,AC262,OhioHealth,34119,NAPLES
58457438,Sandra Bohling,AC130,LVPG  Lehigh Valley Physicians Group,11426,BELLEROSE
48241235,RICHARD HSI,AC594,Beacon Health System,12065,CLIFTON PARK
33026930,Adam Kotowski,AC901,Gene Upshaw Memorial Tahoe Forest Cancer Center,27529,GARNER
45395463,EDWARD ORDORICA,AC258,SCL Health Cancer Centers of Colorado,30305,ATLANTA
53731324,THOMAS HOFSTRA,AC724,Champlain Valley Physicians Hospital Medical Center,3104,MANCHESTER
89427222,PRADEEP SHARDA,AC541,Childrens Hospital of the Kings Daughters,27278,HILLSBOROUGH
46575720,RAED AL-RAJABI,AC194,Los Angeles Cancer Network,98029,ISSAQUAH
66824102,VASIA AHMED,AC357,Valley Regional Hospital,57117,SIOUX FALLS
83066970,NIRMALA NATHAN,AC348,Avam Cancer and Blood Specialists LLC,46322,HIGHLAND
98985163,BARBI KAPLAN-FRENKEL,AC824,Ellis Hospital,95124,SAN JOSE
63905594,ALEXANDER WONG,AC379,Cancer And Leukemia Center PLLC,85711,TUCSON
97431977,PIERRE NOEL,AC835,Providence St. Joseph's Southern California,58104,FARGO
67592359,Thomas Harris,AC351,Texas Oncology - Presbyterian Cancer Center Dallas,20892,BETHESDA
89448865,Jeffrey Matous,AC811,Goshen Center for Cancer Care,86409,KINGMAN
29058661,JUSTINIAN NGAIZA,AC177,St Peter's Health Partners,33990,CAPE CORAL
86051773,WON CHANG,AC152,Glens Falls Hospital C.R. Wood Cancer Center,50701,WATERLOO
22525736,RUFUS MARK,AC624,St. Joseph's Hospital,44053,LORAIN
99170393,DEBRA RICHARDSON,AC327,Lourdes Hospital,11021,GREAT NECK
66614320,Luis Porrata,AC593,Comprehensive Cancer Centers in Las Vegas,46011,ANDERSON
92632271,ARIEL HIRSCH,AC120,Clinical Trials Only,910,SAN JUAN
58660805,LYLE LAWNICKI,AC924,Lafayette General Health,6510,NEW HAVEN
87347347,JOHN HALBROOK,AC845,Asante Rogue Regional Medical Center,10025,NEW YORK
25702717,PRABHU RAJAPPA,AC229,Augusta University Medical Center Inc,70712,ANGOLA
69232501,SEEMA SANGHAVI,AC516,Bronson Methodist Hospital,19902,DOVER AFB
24100339,VIRGINIA KLIMEK,AC598,Community Health Network,3257,NEW LONDON
14131337,NANCY MILLS,AC922,Childrens Of Alabama,60031,GURNEE
91886859,REBECCA JASLOW,AC933,Geisinger Health System,21402,ANNAPOLIS
81259333,James Wade,AC346,Prohealth Care,28210,CHARLOTTE
67714865,JENNIFER WHANGBO,AC800,Essentia Health,94550,LIVERMORE
67452418,Thomas Niederman,AC153,Marshfield Clinic Health System,98382,SEQUIM
78927183,TARIQ MAHMOOD,AC657,Nemours Childrens Hospital,80033,WHEAT RIDGE
33672024,Ivan Borrello,AC922,Childrens Of Alabama,60031,GURNEE
56329682,Andrew Pierson,AC754,Nemours Alfred I Dupont Hospital For Children,89118,LAS VEGAS
90941950,Carlos Robles,AC130,LVPG  Lehigh Valley Physicians Group,11426,BELLEROSE
25065130,ALISON GRANN,AC353,Joliet Oncology-Hematology Associates LTD,6040,MANCHESTER
25622919,RICHARD GEWANTER,AC186,St. Bernards Cancer Center,45601,CHILLICOTHE
70996206,James Foran,AC804,West Virginia University Hospitals,19087,WAYNE
12116238,Syed Hassan,AC345,St Vincent Regional Cancer Center,54880,SUPERIOR
41498664,MERAT KARBASIAN ESFAHANI,AC343,McFarland Clinic,38104,MEMPHIS
43222051,JULIE GOLD,AC365,Northshore University HealthSystem,80222,DENVER
42405197,Debra Prow,AC328,Ochsner Health System,1020,CHICOPEE
75366752,BYRON WILSON,AC415,St Alphonsus Health System,33914,CAPE CORAL
64813353,BRAD DAVIS,AC602,Cancer Centers Of Southwest Oklahoma,48025,FRANKLIN
21155264,NAJAMUZ ZAMAN,AC531,Goldschmidt Cancer Center at Capital Regional Medical Center,10466,BRONX
33277842,Dan Vogl,AC393,Carilion Clinic,73071,NORMAN
72047815,ALEXANDER LOSEV,AC488,Childrens Hospital New Orleans,19023,DARBY
61118791,Martin Langford,AC255,Community Hospital of Anaconda,30117,CARROLLTON
99257619,ASHLEY JENSEN,AC560,Connecticut Childrens Medical Center,30141,HIRAM
19959165,BRIGITTE GOMPERTS,AC761,Midnight Sun Oncology,68046,PAPILLION
42944041,KIMBERLY SCHLESINGER,AC852,Covenant Health System,40513,LEXINGTON
16794293,VI CHIU,AC923,Decatur Memorial Hospital,33607,TAMPA
45324284,Ronald Paquette,AC577,University Of Mississippi Medical Center,6511,NEW HAVEN
13387676,JAME ABRAHAM,AC650,Cancer Center of Kansas,89410,GARDNERVILLE
63316962,RAJUL SHAH,AC298,Dell Childrens Medical Center Of Central Texas,38372,SAVANNAH
81764283,WEEI-CHIN LIN,AC468,Driscoll Childrens Hospital,32952,MERRITT ISLAND
96665439,HEIDI MCKEAN,AC110,East Carolina University Brody School Of Medicine,60026,GLENVIEW
81573068,WILLIAM FLEMING,AC598,Community Health Network,3257,NEW LONDON
17239037,HYUNG KANG,AC965,El Paso Childrens Hospital,22601,WINCHESTER
46220514,MOSES RAJ,AC220,Firsthealth Of The Carolinas,93703,FRESNO
71001330,CLINTON MERRILL,AC872,Park Nicollet Frauenshuh Cancer Center,70791,ZACHARY
13456139,RAYMOND CHAQUETTE,AC161,Golisano Childrens Hospital Of Southwest Florida,47374,RICHMOND
69409736,Ghassan Zalzaleh,AC253,Michigan State University Health,79601,ABILENE
27038587,Bruce Cheson,AC247,Providence Alaska Medical Center,68506,LINCOLN
17902989,MARIETTE AUSTIN,AC296,Navicent Health,43560,SYLVANIA
18009168,ELLIS LEVINE,AC458,Metrohealth Health System,19047,LANGHORNE
91853645,James Lechner,AC542,Memorialcare Health System,28310,FORT BRAGG
35650269,ALEXANDRA CATHCART,AC599,University Of Missouri  Health Care,71643,GOULD
98076765,ALYCIA FOTI,AC853,OSF Saint Francis Medical Center,44074,OBERLIN
29856824,DESTRY ELMS,AC433,The Childrens Hospital At Palms West,37932,KNOXVILLE
26689341,JUDITH KABAT,AC209,HealthPartners Regions Hospital,57117,SIOUX FALLS
35245651,Benjamin Diamond,AC492,VISN 19 VA Rocky Mountain Network,18360,STROUDSBURG
26037607,Matthew Tenold,AC446,Saint Josephs Children Hospital,85260,SCOTTSDALE
34080129,BAHAR MOFTAKHAR,AC569,Southeastern Medical Oncology Center,34655,NEW PORT RICHEY
59812187,MICHAEL CHAN,AC329,Toledo Children's Hospital,36117,MONTGOMERY
71693605,John Norko,AC207,West Michigan Cancer Center,78229,SAN ANTONIO
42267219,MARIA CARTER FEBRES,AC318,Southern Illinois University Medicine,33770,LARGO
23245213,MATTHEW WILKINS,AC862,St Peters University Hospital,78801,UVALDE
67715804,CASEY MEHRHOFF,AC718,Enloe Medical Center,22405,FREDERICKSBURG
98768162,SARAH MUSHTAQ,AC211,Santa Barbara Cottage Hospital,56352,MELROSE
14091205,SAGHI ESFANDIARIFARD,AC336,UMC University Medical Center - Cancer Center,33033,HOMESTEAD
22367174,JOSEPH RIMANDO,AC968,The Childrens Hospital Of San Antonio,27893,WILSON
40504632,ANDREW CRABBE,AC476,IBMT Indiana Blood And Marrow Transplantation,44504,YOUNGSTOWN
67023682,David Yin,AC529,Springfield Clinic,75042,GARLAND
36501531,SHANNON CONNEELY,AC919,AHNI American Health Network Of Indiana,33621,TAMPA
24895936,CAMILLE BERRIOCHOA,AC468,Driscoll Childrens Hospital,32952,MERRITT ISLAND
96761884,ALBERT YEH,AC196,Rochester Regional Health System,23230,RICHMOND
36299055,WILLIAM RAFELSON,AC246,St Elizabeth Cancer Care,58103,FARGO
97064403,JENNIFER VOGEL,AC576,Ascension Saint Thomas Midtown Hospital,7452,GLEN ROCK
77707469,HUSSEIN HAMAD,AC544,Sierra Hematology Oncology,19114,PHILADELPHIA
98713727,ERIC LUK,AC672,Phoebe Hematology Oncology of Albany,66762,PITTSBURG
21979931,BAHAR LADERIAN,AC942,Norfolk Center For Cancer Care And Hematology,54548,MINOCQUA
35124417,ROBERT LOPEZ,AC585,Pacific Cancer Care,94602,OAKLAND
66847586,SISI ZHENG,AC814,Ascension Sacred Heart Health System,92117,SAN DIEGO
98290935,Zachary Frosch,AC490,St Louis Cancer Care,19148,PHILADELPHIA
48892582,SCOTT MILLMAN,AC752,Stockton Hematology Oncology Medical Group,65807,SPRINGFIELD
82438877,CHARLOTTE RIVERS,AC748,AIS Cancer Center,53213,MILWAUKEE
71860291,BRIANNA CONFORTI,AC267,Barton Health,63090,WASHINGTON
58590097,DAVID MACARI,AC341,Mercy UC Davis Cancer Center Merced,98944,SUNNYSIDE
25560371,RACHEL DONOHUE,AC532,Rideout Cancer Center,89118,LAS VEGAS
74750261,Mahmoud Gaballa,AC355,Burzynski Clinic,60008,ROLLING MEADOWS
72103518,MICHAEL SHAFIQUE,AC824,Ellis Hospital,95124,SAN JOSE
76779470,RACHEL LUEBBE,AC103,Edward Elmhurst Health,81611,ASPEN
92084311,ONYEKACHI OGBONNA,AC414,Einstein Genius Care,22025,DUMFRIES
69621683,Dhanalakshmi Balakrishnan,AC688,Mercy Clinic Oncology And Hematology Mcauley,33331,FORT LAUDERDALE
29037315,CLAUDIA ZAPATA,AC182,Asante Cancer Treatment Center,12010,AMSTERDAM
88504831,APRYL SCOTT,AC150,Dignity Health Medical Group Bay Area,15370,WAYNESBURG
31424420,Kimberly Esham,AC539,Harlod Alfond Cancer Center,29605,GREENVILLE
75281534,Kaihong Mi,AC928,Astera Cancer Care,90403,SANTA MONICA
15597049,JOSEPH KUECHLE,AC934,Long Beach Memorial Hospital,91767,POMONA
75949495,EMILY FRANZBLAU,AC539,Harlod Alfond Cancer Center,29605,GREENVILLE
13220328,KATHERINE SCHRENK,AC732,Defense Health Agency Health System,3063,NASHUA
37115135,SIAMAK SAADAT,AC830,St. Mary's Medical Center,28208,CHARLOTTE
98230497,JENNIFER CROZIER,AC505,Texas Oncology - Fort Worth Cancer Center,61354,PERU
61320934,VENKATA POKURI,AC843,Greater Baltimore Medical Center,80634,GREELEY
98499610,ABHISEK SWAIKA,AC715,Tulane Health System,46530,GRANGER
32304154,Qin Chang,AC515,Oregon Oncology Specialists,24301,PULASKI
24192694,JOHN MCCOOL,AC894,Eskenazi Health,8820,EDISON
78724635,KATHERINE EXTEN,AC183,Texas Oncology - Wichita Falls,46391,WESTVILLE
84496141,Benjamin Heyman,AC198,Ann & Robert H Lurie Children's Hospital Of Chicago,78654,MARBLE FALLS
72140060,DAVID MANGUM,AC432,Pike County Memorial Hospital,4330,AUGUSTA
52472564,ARPIT RAO,AC621,Mission Cancer and Blood,71105,SHREVEPORT
62455124,OMKAR MARATHE,AC518,Carle Foundation/Carle Physicians Group,22405,FREDERICKSBURG
20677949,DOYUN PARK,AC396,Einstein Healthcare Network,33716,SAINT PETERSBURG
17167417,Madan Aryal,AC824,Ellis Hospital,95124,SAN JOSE
65652237,KRISTI GEORGE,AC258,SCL Health Cancer Centers of Colorado,30305,ATLANTA
91202989,Pankit Vachhani,AC633,Providence Portland Medical Center,77521,BAYTOWN
42106680,DENNIS REINKE,AC156,Toledo Clinic Cancer Center,48188,CANTON
48687617,HANMANTH NEBOORI,AC608,Providence St Joseph Health System - Oregon,95966,OROVILLE
79130550,Brian Friend,AC320,Vidant Health,80914,COLORADO SPRINGS
28544329,JENNA SOPFE,AC849,Saint Joseph Mercy Hospital,90015,LOS ANGELES
77281546,RANDA TAO,AC357,Valley Regional Hospital,57117,SIOUX FALLS
16029464,SIDDHARTH SHETH,AC865,Broward Health Medical Center,87131,ALBUQUERQUE
58773385,ZAHRA GHIASSI-NEJAD,AC317,Cape Cod Hospital,81101,ALAMOSA
71160739,Hassan Alkhateeb,AC644,Saint Vincent Hospital,1230,GREAT BARRINGTON
52505341,Frank Passero,AC552,Texas Oncology - Methodist Charlton Cancer Center,34609,SPRING HILL
40938196,Matthew Weinstock,AC386,St. Lukes of Duluth,40456,MOUNT VERNON
23736754,Jessica Leonard,AC825,Cancer Treatment Centers of America - Chicago,98144,SEATTLE
71079349,Abdallah Abou Zahr,AC759,Cancer Treatment Centers of America - Atlanta,68701,NORFOLK
59690560,MATTHEW MCKINNEY,AC922,Childrens Of Alabama,60031,GURNEE
14365389,KARI WISINSKI,AC239,Tristar Centennial Medical Center,57104,SIOUX FALLS
16909112,MILAN PATEL,AC418,The Center for Cancer and Blood Disorders - Maryland,10461,BRONX
77126718,Mohammad Omaira,AC351,Texas Oncology - Presbyterian Cancer Center Dallas,20892,BETHESDA
40217971,ALEX EHSAN,AC274,Alliance Cancer Specialists PC,56401,BRAINERD
99295781,OLGA FUNDYLER,AC447,"Park Medical Associates, LLC",725,CAGUAS
76714860,SHANNON NORMAN,AC281,South County Health,51301,SPENCER
58816617,VICTORIA BLINDERACENAL,AC393,Carilion Clinic,73071,NORMAN
55466938,Joshua Richter,AC541,Childrens Hospital of the Kings Daughters,27278,HILLSBOROUGH
31532613,Yesid Alvarado Valero,AC201,Hudson Valley Heme/Onc Associates,33331,FORT LAUDERDALE
27422232,KHALDOUN ALKAYED,AC334,Starling  Physician Group,68506,LINCOLN
94810551,JOEL KOCHANSKI,AC664,Regional Cancer Center,44118,CLEVELAND
23851705,PATRICK BOLAND,AC996,Saratoga Hospital,42101,BOWLING GREEN
35715568,JOANNA RODRIGUEZ,AC147,Ascension Providence Park Hospital - Novi,44004,ASHTABULA
95658911,JARED KNOL,AC435,Berkshire Health System,19977,SMYRNA
23410291,Mohamad Khawandanah,AC161,Golisano Childrens Hospital Of Southwest Florida,47374,RICHMOND
41563140,ANTHONY VISIONI,AC723,Highland Hospital of Rochester,76310,WICHITA FALLS
25961530,Ping Hu,AC285,Bassett Medical Center,80112,ENGLEWOOD
33003453,Sarvari Yellapragada,AC880,SeaCoast Cancer Center,95501,EUREKA
65863802,PRASANNA ANANTH,AC547,Hematology Oncology Specialists of Cape Cod,34119,NAPLES
66252559,Clara Lo,AC130,LVPG  Lehigh Valley Physicians Group,11426,BELLEROSE
75936010,Catherine Diefenbach,AC476,IBMT Indiana Blood And Marrow Transplantation,44504,YOUNGSTOWN
12790516,RAMI KHORIATY,AC247,Providence Alaska Medical Center,68506,LINCOLN
68260138,CALVIN CHEN,AC526,Cancer Care Northwest,44004,ASHTABULA
12826261,ERMINIA MASSARELLI,AC198,Ann & Robert H Lurie Children's Hospital Of Chicago,78654,MARBLE FALLS
83689347,TRICIA KALWAR,AC966,Lowell General Hospital,98250,FRIDAY HARBOR
79271799,TARA GANGADHAR,AC967,Central Maine Medical Center,94402,SAN MATEO
98948236,Scott Huntington,AC664,Regional Cancer Center,44118,CLEVELAND
46919593,Joel Gradowski,AC854,MaineHealth Cancer Care- Brunswick,45750,MARIETTA
49124173,Jonathan Harris,AC824,Ellis Hospital,95124,SAN JOSE
24452041,LESLIE GILBERT,AC801,WellSpan Health System,7446,RAMSEY
84653276,Yue Wang,AC638,Philadelphia Veterans Affairs Medical Center,11740,GREENLAWN
11200016,GENEVIEVE CRANE,AC134,Main Line Health System,32536,CRESTVIEW
66250565,JESSICA ZERILLO,AC792,St. Luke's University Health Network,29526,CONWAY
44559513,Devaki Siva,AC434,Doylestown Health,74136,TULSA
57863613,TREVOR BAYLISS,AC708,MSU Breslin Cancer Center,48507,FLINT
25922751,MERRILL SHUM,AC406,Middlesex Health System,60099,ZION
68658635,WILLIAM BRIX,AC335,White Plains Hospital,64154,KANSAS CITY
52813028,Krysta Schlis,AC249,Affiliated Oncologists,25550,POINT PLEASANT
50147112,Henrik Illum,AC522,Ascension Borgess Hospital,2190,SOUTH WEYMOUTH
55493642,WES TRIPLETT,AC298,Dell Childrens Medical Center Of Central Texas,38372,SAVANNAH
15388672,CAROL HAHN,AC409,Mercy Health Lacks Cancer Center,35801,HUNTSVILLE
74180935,STUART WINTER,AC270,University Healthcare Alliance,15215,PITTSBURGH
46653736,CECILIA FU,AC423,SwedishAmerican Regional Cancer Center,75206,DALLAS
12437217,FREDERICK DAVID,AC807,APDermatology,57401,ABERDEEN
98187046,James Ellis,AC388,Kaiser Permanente of Colorado,22701,CULPEPER
93397025,Santhosh Sadashiv,AC519,Newland Medical Associates,674,MANATI
11431653,Sai Bikkina,AC392,Mercyhealth,77021,HOUSTON
84373597,ANTOINETTE TAN,AC209,HealthPartners Regions Hospital,57117,SIOUX FALLS
40996651,JANET COOPER,AC545,Bryan Medical Center,29464,MOUNT PLEASANT
35713158,RAMJI RAJENDRAN,AC997,Texas Hematology Oncology Centers,61571,WASHINGTON
11033032,STEPHEN GILHEENEY,AC219,Madison Health,2467,CHESTNUT HILL
45196847,Parveen Shiraz,AC651,Pomona Valley Hospital Medical Center,91776,SAN GABRIEL
62906036,ESTHER TAN,AC317,Cape Cod Hospital,81101,ALAMOSA
35349134,SARO ARMENIAN,AC683,The Oncology Institute of Hope and Innovation,35243,BIRMINGHAM
12895899,KENNETH NIERMANN,AC747,Start Center for Cancer Care,6052,NEW BRITAIN
70347696,David Miklos,AC734,Memorial Hospital Chester,55404,MINNEAPOLIS
24905462,MICHAEL LINK,AC380,Mercy Hospital Springfield,6030,FARMINGTON
39595162,EDGARDO RODRIGUEZ-MONGE,AC833,Schweiger Dermatology Group,91723,COVINA
94575580,KELLEY TRITT,AC442,UCLA Community,7018,EAST ORANGE
65796556,James Code,AC992,City of Hope Community,98166,SEATTLE
70788694,Michael Seidman,AC468,Driscoll Childrens Hospital,32952,MERRITT ISLAND
82651101,Vijay Rao,AC518,Carle Foundation/Carle Physicians Group,22405,FREDERICKSBURG
55527260,Kevin Curran,AC485,Austin Cancer Center,39648,MCCOMB
83639278,Sameer Ahmed,AC553,Hiawatha Community Hospital,49047,DOWAGIAC
25665498,David Chang,AC480,Crystal Run Healthcare,45714,BELPRE
43943828,Michael Lankiewicz,AC928,Astera Cancer Care,90403,SANTA MONICA
98431480,Jeffrey Stewart,AC894,Eskenazi Health,8820,EDISON
65048835,ANNA FARISS,AC563,Be Well Health Care Center,94609,OAKLAND
73531586,Mary Lacaze,AC674,Dosik Hematology And Oncology,28207,CHARLOTTE
30908496,JAMES STEVENSON,AC765,Dr. Ilya Blokh,85364,YUMA
89153339,JULIE MEANS,AC179,St Lukes Hospital Health System,32025,LAKE CITY
90470437,REKHA CHAUDHARY,AC573,Southeast Health Cancer Care,54311,GREEN BAY
53634852,Y KIM,AC310,Thompson Oncology Group,17036,HUMMELSTOWN
48225104,SHAJU SHAMSUDDIN,AC602,Cancer Centers Of Southwest Oklahoma,48025,FRANKLIN
45758571,Erica Linden,AC818,Fort Sanders Regional Medical Center,11358,FLUSHING
70600186,CHRISTOPHER CALDWELL,AC766,Texas Oncology - El Paso Cancer Treatment Center Joe Battle,78228,SAN ANTONIO
25019984,Bruno Fang,AC534,Stormont Vail Healthcare,39532,BILOXI
99789174,Joseph Sullivan,AC647,Centra Health,93003,VENTURA
52767831,Manuel Perry,AC279,Pikeville Medical Center,33025,HOLLYWOOD
13340570,VIJAY ROY,AC621,Mission Cancer and Blood,71105,SHREVEPORT
91111201,THOS FITZ GERALD,AC316,Texas Oncology - Plano Prestonwood,6010,BRISTOL
63824824,ROJYMON JACOB,AC363,Putnam County Hospital Cancer Center,34113,NAPLES
14743260,RATHIPRIYA MAHENDRAN,AC284,Woodlawn Hospital,56308,ALEXANDRIA
22193110,ALTON WONG,AC380,Mercy Hospital Springfield,6030,FARMINGTON
86507504,ALEX ADJEI,AC923,Decatur Memorial Hospital,33607,TAMPA
75234529,Stephen Mayer,AC433,The Childrens Hospital At Palms West,37932,KNOXVILLE
40758613,Michael Isakoff,AC491,"Yunhee Chung, MD",57117,SIOUX FALLS
56479253,Gerry Rubin,AC765,Dr. Ilya Blokh,85364,YUMA
73591299,JOHN HALLIGAN,AC244,University of Connecticut Health Center,23505,NORFOLK
69192837,Charles Webb,AC209,HealthPartners Regions Hospital,57117,SIOUX FALLS
30901555,SHABBIR AHMAD,AC858,The Cancer Institute at Good Samaritan Hospital,84405,OGDEN
35552778,Ivan Aksentijevich,AC708,MSU Breslin Cancer Center,48507,FLINT
62206456,John Doster,AC107,Centracare Health System,27886,TARBORO
99419193,JOHN FUNKE,AC655,Texas Oncology - Mesquite,83712,BOISE
13543282,MARCELA POPESCU,AC942,Norfolk Center For Cancer Care And Hematology,54548,MINOCQUA
43116114,Michael Cannon,AC625,Texas Oncology - Rockwall,52002,DUBUQUE
54424419,Thomas Buroker,AC847,Christus St. Michael - Hematology/Oncology,1902,LYNN
14330115,Karen Albritton,AC612,"Edward Armand Eichler, MD PA",10310,STATEN ISLAND
54057785,GEORGE KOVACH,AC123,Henry B. Fox,65251,FULTON
37196230,SHUBHADA SHRIKHANDE,AC988,Multicare Health System,91302,CALABASAS
93876645,BRUCE TRIPP,AC770,Dayton Children's Hospital,33426,BOYNTON BEACH
25368338,LOUIS NOVOA-TAKARA,AC381,Allina Health,48201,DETROIT
83002292,Connie Uzel,AC347,Vail Health,36652,MOBILE
24687991,ROXANA DRONCA,AC696,Northern Virginia Hematology & Oncology,10021,NEW YORK
47577598,Belagodu Kantharaj,AC258,SCL Health Cancer Centers of Colorado,30305,ATLANTA
30693486,CAROL LUHRS,AC380,Mercy Hospital Springfield,6030,FARMINGTON
20712471,Santosh Nair,AC735,Central Care Cancer Center,84107,SALT LAKE CITY
69499934,MARY BOONE SUELL,AC744,Texas Oncology - Midlothian,60453,OAK LAWN
75890043,MADHURI VITHALA,AC309,Memorial Hospital Gulfport,66622,TOPEKA
56793789,Jose Mendoza,AC912,Hematology Oncology Associates of Treasure Coast,42431,MADISONVILLE
44514011,BRUCE FINE,AC390,Contra Costa Oncology,80026,LAFAYETTE
35437711,Gregory Britt,AC330,Trinity Health Mid-Atlantic,7730,HAZLET
78236265,RICHARD JONES,AC808,Maui Memorial Medical Center,11385,RIDGEWOOD
28877826,Ronjay Rakkhit,AC595,Meade Pediatrics,81505,GRAND JUNCTION
64558822,MICHAEL WERTHEIM,AC117,Saint Francis Medical Center,55901,ROCHESTER
70214429,MITCHELL WEISS,AC674,Dosik Hematology And Oncology,28207,CHARLOTTE
90875396,Balijepalli Netaji,AC913,Community Health Partners,61364,STREATOR
19525544,BRIAN LEE,AC907,Lewis Gale Physicians,60640,CHICAGO
43426179,JANICE TOMBERLIN,AC635,Torrance Memorial Hunt Cancer Institute,23322,CHESAPEAKE
17190451,LEA KREKOW,AC608,Providence St Joseph Health System - Oregon,95966,OROVILLE
99488227,DEREK MCHAFFIE,AC153,Marshfield Clinic Health System,98382,SEQUIM
58964864,David Mendelson,AC299,Ventura County Hematology Oncology Specialists,7070,RUTHERFORD
90865654,MICHAEL FROST,AC621,Mission Cancer and Blood,71105,SHREVEPORT
47112779,Alan Gamis,AC474,California Hematology Oncology Medical Group,16105,NEW CASTLE
43985510,Sebastian Mayer,AC893,Ridley-Tree Cancer Center,78215,SAN ANTONIO
21864339,PRAMILA ANNE,AC619,St. Vincent Children's Hospital,44304,AKRON
20607940,MARK NGO,AC504,Dignity Health Medical Group Central Coast,30014,COVINGTON
37747225,SAIFUDDIN SONIWALA,AC224,Great Lakes Cancer Management Specialists,63125,SAINT LOUIS
